league,actual,top1,top1_prob,top2_prob,top3_prob,top1_hit,top3_hit,top3_prob_sum,xg_home,xg_away,xg_total,xg_diff,xg_total_bucket,xg_diff_bucket
F1,"(0, 0)","(0, 0)",0.29596950595090915,0.28221309351732554,0.15083744274029615,True,True,0.7290200422085309,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(1, 0)","(0, 0)",0.3650047212780236,0.2294896820487129,0.18292635953960482,False,True,0.7774207628663413,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(0, 1)","(1, 0)",0.3620331479473127,0.29195339030909256,0.2244673371901563,False,False,0.8784538754465615,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(0, 1)","(0, 0)",0.2903570916019244,0.23797230933577954,0.18376121339754756,False,False,0.7120906143352516,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(2, 0)","(0, 0)",0.8138482818602705,0.1676396595158442,0.01726553712096746,False,True,0.9987534784970821,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(1, 1)","(0, 0)",0.3543380091547872,0.2950863572788036,0.13278790128147672,False,False,0.7822122677150676,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 0)","(0, 0)",0.32078802916019705,0.23532270126037716,0.17886923724270665,True,True,0.7349799676632809,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 0)","(0, 0)",0.30826102996450744,0.30534511402353726,0.16520227833997642,False,True,0.7788084223280212,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.38464759509324215,0.36868269470230836,0.17669021086691772,True,True,0.9300205006624682,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.6091449259121424,0.1893706272533539,0.12632794006013282,True,True,0.9248434932256292,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(0, 1)","(0, 1)",0.26865261107865646,0.25392894068935556,0.16641754063387607,True,True,0.6889990924018881,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 0)","(1, 0)",0.26457488634569387,0.221244345216419,0.19988998963417304,False,True,0.6857092211962859,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(3, 0)","(1, 0)",0.33472739282469727,0.2835319800928664,0.2098614808369006,False,False,0.8281208537544642,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(2, 1)","(1, 0)",0.2595538789108378,0.2594055872372142,0.16521254509523609,False,False,0.6841720112432881,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(1, 0)","(1, 0)",0.3179510421936264,0.25134336834538,0.21919173246967869,True,True,0.7884861430086851,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(3, 0)","(1, 0)",0.34024251807641887,0.3347632695051901,0.18209150067640434,False,False,0.8570972882580132,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(1, 1)","(0, 0)",0.8361055491729479,0.14966434690045036,0.013395089145918969,False,False,0.9991649852193172,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(0, 2)","(0, 0)",0.5337009656050071,0.19271838131933478,0.16695422168321253,False,False,0.8933735686075543,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(1, 0)","(0, 0)",0.28237339712640724,0.24900415655429095,0.18165879989192837,False,True,0.7130363535726265,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(1, 0)","(0, 0)",0.24766629101915683,0.22388573287911787,0.22122798743464014,False,True,0.6927800113329148,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
